"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"mcg_vc13_sing","Integer","","Recommended","sing","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_40,aw_sing,cdi_wg_d13_40,cdid13_40,understand_sing"
"mcg_vc13_sleep","Integer","","Recommended","sleep","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_41,aw_sleep,cdi_wg_d13_41,cdid13_41,understand_sleep"
"mcg_vc13_smile","Integer","","Recommended","smile","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_42,aw_smile,cdi_wg_d13_42,cdid13_42,understand_smile"
"mcg_vc13_splsh","Integer","","Recommended","splash","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_43,aw_splash,cdi_wg_d13_43,cdid13_43,understand_splash"
"mcg_vc13_stop","Integer","","Recommended","stop","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_44,aw_stop,cdi_wg_d13_44,cdid13_44,understand_action_stop"
"mcg_vc13_swim","Integer","","Recommended","swim","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_45,aw_swim,cdi_wg_d13_45,cdid13_45,understand_swim"
"mcg_vc13_swing","Integer","","Recommended","swing","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_46,aw_swing,cdi_wg_d13_46,cdid13_46,understand_action_swing"
"mcg_vc13_take","Integer","","Recommended","take","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_47,aw_take,cdi_wg_d13_47,cdid13_47,understand_take"
"mcg_vc13_tckle","Integer","","Recommended","tickle","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_49,aw_tickle,cdi_wg_d13_49,cdid13_49,understand_tickle"
"mcg_vc13_touch","Integer","","Recommended","touch","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_50,aw_touch,cdi_wg_d13_50,cdid13_50,understand_touch"
"mcg_vc13_watch","Integer","","Recommended","watch","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_51,aw_watch,cdi_wg_d13_51,cdid13_51,understand_action_watch"
"mcg_vc13_walk","Integer","","Recommended","walk","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_52,aw_walk,cdi_wg_d13_52,cdid13_52,understand_walk"
"mcg_vc13_wash","Integer","","Recommended","wash","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_53,aw_wash,cdi_wg_d13_53,cdid13_53,understand_wash"
"mcg_vc13_wipe","Integer","","Recommended","wipe","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_54,aw_wipe,cdi_wg_d13_54,cdid13_54,understand_wipe"
"mcg_vc13_write","Integer","","Recommended","write","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_13_55,aw_write,cdi_wg_d13_55,cdid13_55,understand_write"
"mcg_vc14_day","Integer","","Recommended","day","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_1,cdi_wg_d14_1,cdid14_1,understand_day,wtime_day"
"mcg_vc14_later","Integer","","Recommended","later","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_2,cdi_wg_d14_2,cdid14_2,understand_later,wtime_later"
"mcg_vc14_morn","Integer","","Recommended","morning","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_3,cdi_wg_d14_3,cdid14_3,understand_morn,wtime_morning"
"mcg_vc14_night","Integer","","Recommended","night","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_4,cdi_wg_d14_4,cdid14_4,understand_time_night,wtime_night"
"mcg_vc14_now","Integer","","Recommended","now","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_5,cdi_wg_d14_5,cdid14_5,understand_now,wtime_now"
"mcg_vc14_today","Integer","","Recommended","today","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_6,cdi_wg_d14_6,cdid14_6,understand_today,wtime_today"
"mcg_vc14_tomrr","Integer","","Recommended","tomorrow","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_7,cdi_wg_d14_7,cdid14_7,understand_tmrw,wtime_tomorrow"
"mcg_vc14_tnght","Integer","","Recommended","tonight","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_14_8,cdi_wg_d14_8,cdid14_8,understand_tonight,wtime_tonight"
"mcg_vc15_allgn","Integer","","Recommended","all gone","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_1,cdi_wg_d15_1,cdid15_1,dw_allgone,understand_gone"
"mcg_vc15_asleep","Integer","","Recommended","asleep","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_2,cdi_wg_d15_2,cdid15_2,dw_asleep,understand_asleep"
"mcg_vc15_bad","Integer","","Recommended","bad","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_3,cdi_wg_d15_3,cdid15_3,dw_bad,understands_bad"
"mcg_vc15_big","Integer","","Recommended","big","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_4,cdi_wg_d15_4,cdid15_4,dw_big,understand_big"
"mcg_vc15_blue","Integer","","Recommended","blue","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_5,cdi_wg_d15_5,cdid15_5,dw_blue,understand_blue"
"mcg_vc15_brkn","Integer","","Recommended","broken","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_6,cdi_wg_d15_6,cdid15_6,dw_broken,understand_broken"
"mcg_vc15_care","Integer","","Recommended","careful","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_7,cdi_wg_d15_7,cdid15_7,dw_careful,understand_des_careful"
"mcg_vc15_clean","Integer","","Recommended","clean","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_8,cdi_wg_d15_8,cdid15_8,dw_clean,understand_des_clean"
"mcg_vc15_cold","Integer","","Recommended","cold","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_9,cdi_wg_d15_9,cdid15_9,dw_cold,understand_cold"
"mcg_vc15_cute","Integer","","Recommended","cute","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_10,cdi_wg_d15_10,cdid15_10,dw_cute,understand_cute"
"mcg_vc15_dark","Integer","","Recommended","dark","0; 1; 2","0 = Does not understand; 1 = Understands; 2 = Understands and says","I_D_15_11,cdi_wg_d15_11,cdid15_11,dw_dark,understand_dark"
