"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"nrefixationsia_objcol","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic","0 :: 50","",""
"nrefixationsia_color","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs","0 :: 50","",""
"nrefixationsia_digit","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs","0 :: 50","",""
"nrefixationsia_letter","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs","0 :: 50","",""
"nrefixationsia_object","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs","0 :: 50","",""
"trialtotaldur_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across all arrays (ms) - First two rows","4 :: 40","",""
"trialtotaldur_lettnumb_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across letter/number runs = symbolic (ms) - First two rows","4 :: 40","",""
"trialtotaldur_objcol_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across object/color runs = non-symbolic (ms) - First two rows","4 :: 40","",""
"trialtotaldur_color_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across color runs (ms) - First two rows","4 :: 40","",""
"trialtotaldur_digit_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across number runs (ms) - First two rows","4 :: 40","",""
"trialtotaldur_letter_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across letter runs (ms) - First two rows","4 :: 40","",""
"trialtotaldur_object_first2","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across object runs (ms) - First two rows","4 :: 40","",""
"trialtotalerrors_first2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays - First two rows","0 :: 10","",""
"trialtotalerrorslettnumbfirst2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic - First two rows","0 :: 10","",""
"trialtotalerrors_objcol_first2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic - First two rows","0 :: 10","",""
"trialtotalerrors_color_first2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs - First two rows","0 :: 10","",""
"trialtotalerrors_digit_first2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs - First two rows","0 :: 10","",""
"trialtotalerrors_letter_first2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs - First two rows","0 :: 10","",""
"trialtotalerrors_object_first2","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs - First two rows","0 :: 10","",""
"eyevoicelead_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays - First two rows","0 :: 5","",""
"eyevoicelead_lettnumb_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic - First two rows","0 :: 5","",""
"eyevoicelead_objcol_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic - First two rows","0 :: 5","",""
"eyevoicelead_color_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across color runs - First two rows","0 :: 5","",""
"eyevoicelead_digit_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across number runs - First two rows","0 :: 5","",""
"eyevoicelead_letter_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across letter runs - First two rows","0 :: 5","",""
"eyevoicelead_object_first2","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across object runs - First two rows","0 :: 5","",""
"nfix_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays - First two rows","15 :: 55","",""
"nfix_lettnumb_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic - First two rows","5 :: 55","",""
"nfix_objcol_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic - First two rows","5 :: 55","",""
"nfix_color_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs - First two rows","20 :: 55","",""
"nfix_digit_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs - First two rows","15 :: 50","",""
"nfix_letter_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs - First two rows","15 :: 50","",""
"nfix_object_first2","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs - First two rows","20 :: 55","",""
