"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"cbqp13_u","Integer","","Recommended","Question 13. My child almost never complains","0;1","0 = True; 1 = False",""
"cbqp14_u","Integer","","Recommended","Question 14. For the most part, my child likes to talk to us","0;1","0 = True; 1 = False",""
"cbqp15_u","Integer","","Recommended","Question 15. We almost never seem to agree","0;1","0 = False; 1 = True",""
"cbqp16_u","Integer","","Recommended","Question 16. My child usually listens to what I tell him/her","0;1","0 = True; 1 = False",""
"cbqp17_u","Integer","","Recommended","Question 17. My child never talks when I discuss things with him/her","0;1","0 = False; 1 = True",""
"cbqp18_u","Integer","","Recommended","Question 18. I enjoy the talks we have","0;1","0 = True; 1 = False",""
"cbqp19_u","Integer","","Recommended","Question 19. Often when I talk to my child, he/she laughs at me","0;1","0 = False; 1 = True",""
"cbqp20_u","Integer","","Recommended","Question 20. My child will approach me when something is on his/her mind","0;1","0 = True; 1 = False",""
"cbqp21_u","Integer","","Recommended","Question 21. At least three times a week, we get angry at each other","0;1","0 = False; 1 = True",""
"cbqp22_u","Integer","","Recommended","Question 22. My child screams a lot","0;1","0 = False; 1 = True",""
"cbqp23_u","Integer","","Recommended","Question 23. Several hours after an argument, my child is still mad at me","0;1","0 = False; 1 = True",""
"cbqp24_u","Integer","","Recommended","Question 24. After an argument which turns out badly, one or both of us apologizes","0;1","0 = True; 1 = False",""
"cbqp25_u","Integer","","Recommended","Question 25. My child doesn't pay attention when I have discussions with him/her","0;1","0 = False; 1 = True",""
"cbqp26_u","Integer","","Recommended","Question 26. My child says that I have no consideration of his/her feelings","0;1","0 = False; 1 = True",""
"cbqp27_u","Integer","","Recommended","Question 27. We argue at the dinner table at least half the time we eat together","0;1","0 = False; 1 = True",""
"cbqp28_u","Integer","","Recommended","Question 28. My child embarrasses me in front of my friends","0;1","0 = False; 1 = True",""
"cbqp29_u","Integer","","Recommended","Question 29. My child does not usually abide by decisions that the two of us reach","0;1","0 = False; 1 = True",""
"cbqp30_u","Integer","","Recommended","Question 30. We listen to each other, even when we argue","0;1","0 = True; 1 = False",""
"cbqp31_u","Integer","","Recommended","Question 31. When we discuss things, my child gets restless","0;1","0 = False; 1 = True",""
"cbqp32_u","Integer","","Recommended","Question 32. My child usually starts arguments","0;1","0 = False; 1 = True",""
"cbqp33_u","Integer","","Recommended","Question 33. My child and I compromise during arguments","0;1","0 = True; 1 = False",""
"cbqp34_u","Integer","","Recommended","Question 34. I enjoy spending time with my child","0;1","0 = True; 1 = False",""
"cbqp35_u","Integer","","Recommended","Question 35. My child mistreats me in front of his/her friends","0;1","0 = False; 1 = True",""
"cbqp36_u","Integer","","Recommended","Question 36. At least once a day we get angry at each other","0;1","0 = False; 1 = True",""
"cbqp37_u","Integer","","Recommended","Question 37. My child leaves the house after an argument","0;1","0 = False; 1 = True",""
"cbqp38_u","Integer","","Recommended","Question 38. My child runs to his/her room after an argument","0;1","0 = False; 1 = True",""
"cbqp39_u","Integer","","Recommended","Question 39. We argue until one of us is too tired to go on","0;1","0 = False; 1 = True",""
"cbqp40_u","Integer","","Recommended","Question 40. My child often seeks me out","0;1","0 = True; 1 = False",""
"cbqp41_u","Integer","","Recommended","Question 41. My child often doesn't do what I ask","0;1","0 = False; 1 = True",""
"cbqp42_u","Integer","","Recommended","Question 42. The talks we have are frustrating","0;1","0 = False; 1 = True",""
"cbqp43_u","Integer","","Recommended","Question 43. My child often seems angry at me","0;1","0 = False; 1 = True",""
"cbqp44_u","Integer","","Recommended","Question 44. My child often cries when I question him/her","0;1","0 = False; 1 = True",""
"cbqp45_u","Integer","","Recommended","Question 45. We have enjoyable talks at least once a week","0;1","0 = True; 1 = False",""
"cbqp46_u","Integer","","Recommended","Question 46. When angry, my child becomes aggressive","0;1","0 = False; 1 = True",""
"cbqp47_u","Integer","","Recommended","Question 47. My child acts impatient when I talk","0;1","0 = False; 1 = True",""
"cbqp48_u","Integer","","Recommended","Question 48. My child and I speak to each other only when we have to","0;1","0 = False; 1 = True",""
"cbqp49_u","Integer","","Recommended","Question 49. My child often criticizes me","0;1","0 = False; 1 = True",""
"cbqp50_u","Integer","","Recommended","Question 50. My child says I don't love him/her","0;1","0 = False; 1 = True",""
"cbqp51_u","Integer","","Recommended","Question 51. In general, I don't think we get along very well","0;1","0 = False; 1 = True",""
